,White,Black,WhiteELO,BlackELO,Date,Event,Result,Opening,Rounds
226,"Ragger, Markus","Rapport, Richard",2572,,2010.06.01,,1-0,A22,4.2
227,"Le, Quang Liem","Rapport, Richard",2709,2762,2022.03.22,,1/2-1/2,E92,15.4
228,"Rapport, Richard","Dominguez Perez, Leinier",2763,2758,2021.08.15,blitz,0-1,,24.3
229,"Wojtaszek, Radoslaw","Rapport, Richard",2711,2687,2013.12.15,tourn,0-1,E60,9
230,"Farago, Ivan","Rapport, Richard",2512,2444,2010.02.16,,0-1,D45,11
231,"Beerdsen, Thomas","Rapport, Richard",2474,2726,2018.11.10,team-tourn,1/2-1/2,B00,1.5
232,"Ding, Liren","Rapport, Richard",2760,2692,2017.02.18,,0-1,E16,1.5
233,"Abergel, Thal","Rapport, Richard",2506,2552,2011.05.06,swiss,0-1,C48,4
234,"Rapport, Richard","Ding, Liren",2747,2805,2019.08.13,blitz,1/2-1/2,D77,8.2
235,"Rapport, Richard","Fedoseev, Vladimir",2763,2704,2022.02.05,,1-0,E32,2.2
236,"Efimenko, Zahar","Rapport, Richard",2601,2752,2019.11.13,,0-1,B47,4.4
237,"Rapport, Richard","Adam, Gyorgy Jr",2012,2059,2007.03.25,team,1-0,B34,7
238,"Fargere, Francois","Rapport, Richard",2489,2509,2010.05.29,team-tourn,0-1,C61,1
239,"Ni, Hua","Rapport, Richard",2666,2704,2014.08.04,,1/2-1/2,C03,3.11
240,"Bharathakoti, Harsha","Rapport, Richard",2576,2754,2021.12.29,blitz,0-1,,7
241,"Rapport, Richard","Banusz, Tamas",2696,2609,2017.05.26,,1-0,D00,9
242,"Giri, Anish","Rapport, Richard",2762,2692,2017.11.16,,1-0,A10,1.6
243,"Kolbus, Dietmar","Rapport, Richard",2332,2531,2011.02.03,,1/2-1/2,A04,10.36
244,"Dreev, Aleksey","Rapport, Richard",2653,2707,2017.12.28,rapid,1/2-1/2,E12,13.11
245,"Rapport, Richard","Papadopoulos, Panayotis",2523,2007,2010.10.20,,1-0,A14,1.1
246,"Rapport, Richard","Caruana, Fabiano",2763,2806,2021.08.26,,1/2-1/2,B44,9.5
247,"Ivanisevic, Ivan","Rapport, Richard",2619,2680,2013.11.02,tourn (rapid),1/2-1/2,A11,9
248,"Adhiban, Baskaran","Rapport, Richard",2650,2715,2018.03.13,swiss,1-0,D15,8
249,"Aronian, Levon","Rapport, Richard",2780,2702,2017.01.25,,1-0,E17,10
250,"Rapport, Richard","Paehtz, Elisabeth",2725,2513,2018.10.22,,1-0,D02,3.17
251,"Rapport, Richard","Horvath, Andras",2197,2312,2007.12.02,tourn,1/2-1/2,B06,2
252,"Wei, Yi","Rapport, Richard",2707,2717,2016.12.20,,1-0,C03,1
253,"Eljanov, Pavel","Rapport, Richard",2753,2693,2015.11.17,,1-0,D02,5.2
254,"Portisch, Lajos","Rapport, Richard",2464,2698,2014.??.??,,0-1,A40,3
255,"Rapport, Richard",Raja Harshit,2725,2420,2018.10.20,swiss,1/2-1/2,B70,1
256,"Predke, Alexandr","Rapport, Richard",2630,2750,2021.12.28,rapid,1-0,,11
257,"Rapport, Richard","Aronian, Levon",2692,2801,2017.11.23,swiss,1/2-1/2,E05,7
258,"Rewitz, Poul","Rapport, Richard",2309,2545,2011.08.04,swiss,0-1,D15,7
259,"Roy Chowdhury, Saptarshi","Rapport, Richard",2425,2696,2017.04.14,swiss,0-1,A47,3
260,"Dubov, Daniil","Rapport, Richard",2629,2687,2013.12.13,swiss (blitz),0-1,C50,11.1
261,"Mamedyarov, Shakhriyar","Rapport, Richard",2767,2763,2021.12.21,rapid,1-0,E63,6.1
262,"Rapport, Richard","Dominguez Perez, Leinier",2735,2760,2019.07.14,,1/2-1/2,,2.4
263,"Rapport, Richard","Dragun, Kamil",2122,2050,2007.09.20,swiss,1-0,B40,7
264,"Grischuk, Alexander","Rapport, Richard",2750,2698,2017.08.03,k.o. (blitz),1-0,B06,1.6
265,"Shankland, Samuel L","Rapport, Richard",2731,2735,2019.02.20,match (rapid),1/2-1/2,C41,4.5
266,"Rapport, Richard","Karjakin, Sergey",2747,2750,2019.08.13,blitz,1-0,A45,4.2
267,"Rapport, Richard","Erdelyi, Zombor",2197,2391,2008.05.18,team,1/2-1/2,D70,11
